#{"t_start": 1685981011.9570131, "env_id": "None"}
r,l,t
2180.0,2921,9630.547839
1854.0,637,9635.190652
1396.0,496,9636.752555
3158.0,817,9638.942771
1754.0,546,9639.303713
1911.0,612,9646.706404
2184.0,651,9650.018676
1390.0,499,9658.138498
2267.0,709,9658.338012
1346.0,566,9966.474658
1864.0,584,9966.915816
2065.0,586,9975.062567
2343.0,775,9978.219986
3314.0,2917,9980.267439
2053.0,560,9983.282998
2572.0,3082,9986.176356
1333.0,478,9990.495906
2250.0,706,9990.846278
1888.0,628,10278.625452
3172.0,766,10280.270538
1907.0,550,10288.148277
2337.0,684,10288.428859
1350.0,523,10296.141443
2712.0,3075,10594.444767
2434.0,2954,10600.569624
1480.0,517,10608.332325
2689.0,2814,10912.781182
2479.0,2728,10917.31191
1711.0,521,10920.271674
4101.0,4150,10924.142305
1751.0,560,10925.22528
2096.0,671,10929.799252
2036.0,2930,10933.467946
2595.0,751,11217.023951
1919.0,599,11219.431113
1888.0,578,11222.787223
4374.0,1387,11225.103027
2125.0,561,11225.147835
1903.0,593,11231.615345
1954.0,579,11233.730493
2475.0,708,11236.004144
2642.0,1424,11240.861611
2291.0,584,11242.800303
2702.0,735,11242.906595
1716.0,552,11244.573543
1881.0,615,11553.678836
1550.0,516,11554.297469
2198.0,591,11555.390108
2732.0,711,11558.892336
1612.0,554,11563.399891
2790.0,651,11564.340834
1973.0,562,11564.64768
1345.0,512,11567.311154
2137.0,594,11573.144853
2333.0,667,11575.610107
3060.0,703,11575.953647
2621.0,704,11578.9128
1692.0,511,11581.612818
1690.0,492,11584.485068
2857.0,673,11916.753155
2573.0,711,11920.684721
3107.0,709,11923.377878
2945.0,676,11925.280365
2527.0,718,11929.097357
2209.0,610,11934.180295
1423.0,537,11934.857284
3249.0,814,11934.907657
2238.0,561,11939.044948
1882.0,585,11944.496759
2267.0,622,11945.712692
2931.0,709,12279.571035
1821.0,553,12281.887956
2334.0,585,12283.576226
2496.0,643,12289.342498
1551.0,507,12289.70263
2927.0,887,12297.275827
1713.0,498,12297.359694
1876.0,582,12298.30726
1392.0,508,12305.071961
2345.0,606,12306.583354
1621.0,2835,12308.510461
3670.0,817,12634.994831
2145.0,581,12638.062668
2728.0,688,12641.350498
2304.0,692,12643.363816
1985.0,603,12644.216825
1648.0,482,12645.504479
2720.0,708,12652.721312
2395.0,645,12653.855727
2914.0,2854,13021.432679
2560.0,2948,13021.583584
2435.0,2900,13029.145844
2585.0,2930,13332.486228
2126.0,589,13332.629886
2657.0,643,13340.731064
1986.0,540,13340.808537
2703.0,654,13342.409053
1711.0,503,13349.175291
2630.0,666,13351.921299
2224.0,639,13353.316055
1458.0,504,13360.634667
2428.0,699,13361.221203
1714.0,498,13361.835906
1715.0,509,13693.744681
1429.0,2843,13693.919467
2782.0,741,13696.718226
3051.0,778,13698.445634
1708.0,532,13701.987082
1620.0,546,13702.018085
1478.0,492,13704.303574
1563.0,489,13706.042498
1729.0,567,13710.901864
1463.0,604,13711.436721
1926.0,492,13713.524786
2445.0,655,13714.277253
